                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1334,                 2.5253,                 1.4981,                0.01123,                0.94545,                0.44011,                 0.2096,                0.97521,                 3.4765,                 1.6794,             0.00031673,             0.00031673,             0.00031673
                      2,                 1.0536,                 1.7558,                 1.4373,                0.46743,                0.51069,                0.47905,                0.25044,                 1.3121,                 2.8279,                  2.237,             0.00064369,             0.00064369,             0.00064369
                      3,                 1.0908,                 1.6591,                 1.4348,                0.11504,                0.25455,                0.09967,                0.03084,                 2.0639,                 3.8156,                 3.7896,             0.00096406,             0.00096406,             0.00096406
                      4,                 1.1231,                 1.5529,                 1.4261,                0.26458,                0.45137,                0.24721,                0.10616,                 2.0932,                 3.0101,                 3.4709,              0.0012778,              0.0012778,              0.0012778
                      5,                 1.1106,                  1.535,                 1.4432,                0.25392,                0.14545,                0.09326,                0.03782,                 3.5958,                 5.9529,                 6.3377,               0.001585,               0.001585,               0.001585
                      6,                 1.1213,                 1.5647,                 1.4537,                0.46576,                0.25455,                0.26493,                0.10065,                  2.007,                 3.2782,                 3.0399,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.1252,                 1.4235,                 1.4268,                 0.4865,                0.38182,                0.33933,                0.12754,                 1.5474,                 3.6101,                  2.436,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.0704,                 1.3887,                  1.392,                 0.0664,                0.32727,                0.06117,                0.01885,                 2.1786,                 3.9761,                 3.8803,               0.001568,               0.001568,               0.001568
                      9,                 1.0462,                 1.3142,                 1.3699,                0.40421,                0.43636,                 0.2972,                0.10102,                 2.1792,                 2.4767,                 3.2873,              0.0015515,              0.0015515,              0.0015515
                     10,                0.99867,                 1.2315,                 1.3348,                0.43835,                0.46834,                0.38895,                0.19182,                 1.8644,                 2.7178,                 2.9272,               0.001535,               0.001535,               0.001535
                     11,                0.96732,                 1.1783,                  1.337,                 0.3952,                0.49091,                0.41943,                0.18194,                 1.6862,                  2.249,                 2.4872,              0.0015185,              0.0015185,              0.0015185
                     12,                0.95965,                 1.0866,                 1.2826,                0.61807,                0.45455,                0.47315,                0.25351,                 1.6277,                 2.2869,                 2.5949,               0.001502,               0.001502,               0.001502
                     13,                0.95488,                 1.0799,                 1.3194,                0.55522,                0.47273,                0.44235,                0.18846,                 1.8497,                 1.8889,                 3.0576,              0.0014855,              0.0014855,              0.0014855
                     14,                0.94403,                 1.0937,                 1.2973,                0.55812,                0.43633,                0.48354,                0.17463,                 2.3455,                 2.4949,                 3.0793,               0.001469,               0.001469,               0.001469
                     15,                0.86744,                0.97959,                 1.2138,                0.53891,                0.45455,                0.47354,                0.18446,                  1.803,                 2.4607,                 2.7136,              0.0014525,              0.0014525,              0.0014525
                     16,                0.82076,                0.92158,                 1.2022,                0.16628,                0.36364,                0.12338,                0.05503,                 3.0883,                 4.4007,                  4.191,               0.001436,               0.001436,               0.001436
                     17,                0.80552,                 0.9047,                 1.2016,                0.30442,                0.53318,                0.32694,                0.10446,                 2.3151,                 2.2815,                 3.3308,              0.0014195,              0.0014195,              0.0014195
                     18,                0.77686,                0.88348,                 1.1905,                0.55646,                0.66156,                0.64284,                 0.2422,                 1.8683,                 1.7684,                 2.8805,              0.0014029,              0.0014029,              0.0014029
                     19,                0.76613,                0.87411,                 1.1688,                0.67216,                0.59651,                 0.6508,                0.26207,                 1.9513,                 1.5856,                 3.3922,              0.0013864,              0.0013864,              0.0013864
                     20,                0.75661,                0.82819,                  1.172,                0.48172,                0.62532,                0.56554,                0.25431,                 1.9158,                  1.497,                 3.3005,              0.0013699,              0.0013699,              0.0013699
                     21,                0.74649,                0.83274,                  1.159,                0.56632,                0.52727,                 0.4508,                  0.184,                 2.0837,                 2.2468,                 3.5737,              0.0013534,              0.0013534,              0.0013534
                     22,                0.79618,                0.85525,                 1.1777,                0.64729,                0.50909,                0.56456,                0.28764,                 1.8758,                 1.5317,                  3.278,              0.0013369,              0.0013369,              0.0013369
                     23,                0.73431,                0.78529,                 1.1642,                 0.4732,                    0.4,                0.40012,                0.15762,                 1.8813,                 2.4441,                 2.8041,              0.0013204,              0.0013204,              0.0013204
